"numenq","sch_lev","farm_f","trad_f","exec_f","tech_f","whc_f","blc_f","noocc_f","farm_m","trad_m","exec_m","tech_m","whc_m","blc_m","noocc_m","orfr","oroecd","orother","foreign","late6","urban","male","age98","date_first","full_first","wage_first","employed_36","full_36","wage_36","experience_36","employed_60","full_60","wage_60","experience_60"
"d03935",6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,26,9,0,,1,1,1448,25,1,1,1448,49
"d03948",6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,24,39,1,1082,0,,,0,0,,,14
"d03965",3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,25,5,0,,1,0,,29,1,0,,53
"d03977",5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,25,7,,,1,1,983,29,1,1,983,53
"d03978",7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,23,7,1,1385,1,1,1981,29,1,1,2134,53
"d04010",7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,21,31,1,1711,1,1,2000,5,1,1,1300,29
"d04013",4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,26,17,0,,0,,,12,1,1,1067,26
"d04021",6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,27,10,1,854,1,1,1100,26,1,1,1100,50
"d04031",7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,27,10,1,1156,1,1,1714,26,1,1,1714,50
"d04037",5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,23,14,1,1220,1,0,,15,1,0,,33
"d04043",6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,25,7,1,1380,1,1,1981,29,1,1,1981,53
"d04052",6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,26,21,0,1200,1,1,1200,15,0,,,37
